Species,Plant,Slope,Gamma
astrocarpus,1,0.10809160220807311,49.02008166254956
astrocarpus,2,0.1286585105405148,45.15180377
cistoides,B,0.4750680280780079,-1.423409766
cistoides,C,0.6040308002142327,-0.580910555
cistoides,D,0.5763991533674836,-0.738412101
cistoides,E,0.5707115832264494,-0.894221002
cistoides,F,0.6321081219471292,-1.723550636
cristatus,1,0.078099187,18.126929672956702
cristatus,10,0.17751319851299222,11.936050911426552
cristatus,5,0.10820889622602578,17.402464320892268
cristatus,6,0.12267507716244097,16.653194324761465
cristatus,7,0.12065369067417413,18.553191380025165
cristatus,8,0.10091579082696762,21.01680273575062
forrestii,1,0.18847551455963152,49.43841607476304
forrestii,2,0.20537861589430448,49.82907082
forrestii,3,0.15151742198211543,49.30662088
forrestii,4,0.17588224515889148,55.449830032653075
forrestii,5,0.094896624,55.31273822656943
hirsutus,2,0.19186861496895682,52.97051667240879
hirsutus,3,0.21502061627957633,47.856878181844905
macrocarpus,2,0.14960151737738842,54.4429272
macrocarpus,3,0.1710987958717262,51.095205638440575
macrocarpus,4,0.14734436827375125,55.67033633422549
macrocarpus,5,0.1331558365923537,53.26829622544131
macrocarpus,6,0.14388663746073463,51.28023681751973
macropterus,3,1.349816902002644,1.1089877415881628
macropterus,4,1.5978357055146948,1.626433606666636
macropterus,5,1.2360277504148782,2.1880720828410194
occidentalis,1,0.5129010070402645,-0.298435042
occidentalis,2,0.625481036,-0.878063558
occidentalis,3,0.5700483850262336,1.0422136279730625
platypterus,1,0.12178596879788678,58.108210816355566
platypterus,2,0.12634630839936772,57.66503233
platypterus,3,0.21446844017519562,54.59854180963993
platypterus,5,0.20329142760418023,47.26392704863123
platypterus,6,0.21503293934534878,46.23995984602968
zeyheri,1,1.1490703862732161,-6.290008409
zeyheri,2,1.553388705970843,-1.206730462
zeyheri,3,1.3665153466858304,0.6917719188746919
zeyheri,4,1.5165017999402726,-1.767745509
zeyheri,5,1.3291301812289436,-0.955681916
